query_id,clip,ref_cx,ref_cy
q00000,18,0.857813,0.704167
q00001,19,0.078125,0.345833
q00002,19,0.071094,0.465625
q00003,19,0.325841,0.417308
q00004,19,0.507812,0.148191
q00005,19,0.512500,0.231250
q00006,19,0.207552,0.161806
q00007,19,0.725625,0.451875
q00008,19,0.914453,0.627431
q00009,19,0.715625,0.379167
q00010,19,0.459688,0.496875
q00011,19,0.381250,0.380208
q00012,19,0.293359,0.232031
q00013,19,0.345313,0.462500
q00014,19,0.486932,0.733239
q00015,19,0.060156,0.738542
q00016,19,0.138802,0.978356
q00017,19,0.280208,0.680208
q00018,19,0.831380,0.752951
q00019,19,0.780208,0.214236
q00020,19,0.091016,0.718229
q00021,19,0.467969,0.817708
q00022,19,0.721875,0.975521
q00023,20,0.064062,0.127083
q00024,20,0.507812,0.291667
q00025,20,0.581875,0.279167
q00026,20,0.889844,0.575000
q00027,20,0.709028,0.557639
q00028,20,0.483854,0.546181
q00029,20,0.365755,0.340278
q00030,20,0.190625,0.195833
q00031,20,0.251953,0.276563
q00032,20,0.412723,0.723958
q00033,20,0.027790,0.815923
q00034,20,0.209375,0.774861
q00035,20,0.567472,0.639678
q00036,20,0.838728,0.763244
q00037,20,0.818750,0.783333
q00038,20,0.631250,0.548264
q00039,20,0.157813,0.891667
q00040,20,0.821354,0.932292
q00041,20,0.965625,0.172917
q00042,20,0.170703,0.871875
q00043,20,0.017969,0.768750
q00044,20,0.368490,0.957292
q00045,20,0.742969,0.086458
q00046,20,0.021719,0.748125
q00047,21,0.078125,0.381944
q00048,21,0.074740,0.501389
q00049,21,0.610937,0.226362
q00050,21,0.600670,0.077083
q00051,21,0.925781,0.613542
q00052,21,0.537174,0.621094
q00053,21,0.426953,0.516667
q00054,21,0.414062,0.319792
q00055,21,0.211094,0.351042
q00056,21,0.132812,0.137500
q00057,21,0.345680,0.782537
q00058,21,0.744832,0.306971
q00059,21,0.770508,0.706771
q00060,21,0.244141,0.797396
q00061,21,0.918437,0.415833
q00062,21,0.468750,0.847917
q00063,21,0.545313,0.218750
q00064,21,0.167708,0.974306
q00065,21,0.034062,0.803958
q00066,22,0.047656,0.517708
q00067,22,0.390412,0.362405
q00068,22,0.512891,0.128646
q00069,22,0.875781,0.623958
q00070,22,0.485417,0.423090
q00071,22,0.516667,0.422569
q00072,22,0.328693,0.244602
q00073,22,0.123906,0.314792
q00074,22,0.316875,0.730625
q00075,22,0.760115,0.700000
q00076,22,0.329531,0.710417
q00077,22,0.933125,0.785833
q00078,22,0.109531,0.823125
q00079,22,0.447656,0.467708
q00080,22,0.640960,0.023214
q00081,23,0.058594,0.495833
q00082,23,0.571484,0.473958
q00083,23,0.535462,0.283288
q00084,23,0.941498,0.585355
q00085,23,0.538281,0.421181
q00086,23,0.545313,0.138542
q00087,23,0.447476,0.190465
q00088,23,0.192188,0.239844
q00089,23,0.384635,0.818750
q00090,23,0.770312,0.713958
q00091,23,0.291406,0.552083
q00092,23,0.876562,0.631250
q00093,23,0.488281,0.742708
q00094,23,0.055469,0.932292
q00095,23,0.753906,0.320625
q00096,23,0.503125,0.944792
q00097,23,0.697656,0.875417
q00098,23,0.710417,0.024190
q00099,23,0.902232,0.027530
q00100,24,0.066406,0.534375
q00101,24,0.052344,0.490625
q00102,24,0.518080,0.693601
q00103,24,0.917448,0.706696
q00104,24,0.553819,0.645023
q00105,24,0.585938,0.393750
q00106,24,0.291518,0.208333
q00107,24,0.330295,0.201273
q00108,24,0.427812,0.886875
q00109,24,0.751172,0.637500
q00110,24,0.435503,0.543518
q00111,24,0.851562,0.512500
q00112,24,0.135937,0.678125
q00113,24,0.627486,0.563920
q00114,24,0.638281,0.844444
q00115,24,0.684115,0.889236
q00116,24,0.286719,0.935417
q00117,24,0.713672,0.052604
q00118,24,0.609375,0.125000
q00119,25,0.071615,0.510417
q00120,25,0.054688,0.448958
