row,video,clip,t
0,11,0,0
1,11,0,1
2,11,0,2
3,11,0,3
4,11,0,4
5,11,0,5
6,11,0,6
7,11,0,7
8,11,0,8
9,11,0,9
10,11,0,10
11,11,0,11
12,11,0,12
13,11,0,13
14,11,0,14
15,11,0,15
16,11,0,16
17,11,0,17
18,11,0,18
19,11,0,19
20,11,1,0
21,11,1,1
22,11,1,2
23,11,1,3
24,11,1,4
25,11,1,5
26,11,1,6
27,11,1,7
28,11,1,8
29,11,1,9
30,11,1,10
31,11,1,11
32,11,1,12
33,11,1,13
34,11,1,14
35,11,1,15
36,11,1,16
37,11,1,17
38,11,1,18
39,11,1,19
40,11,2,0
41,11,2,1
42,11,2,2
43,11,2,3
44,11,2,4
45,11,2,5
46,11,2,6
47,11,2,7
48,11,2,8
49,11,2,9
50,11,2,10
51,11,2,11
52,11,2,12
53,11,2,13
54,11,2,14
55,11,2,15
56,11,2,16
57,11,2,17
58,11,2,18
59,11,2,19
60,11,3,0
61,11,3,1
62,11,3,2
63,11,3,3
64,11,3,4
65,11,3,5
66,11,3,6
67,11,3,7
68,11,3,8
69,11,3,9
70,11,3,10
71,11,3,11
72,11,3,12
73,11,3,13
74,11,3,14
75,11,3,15
76,11,3,16
77,11,3,17
78,11,3,18
79,11,3,19
80,11,4,0
81,11,4,1
82,11,4,2
83,11,4,3
84,11,4,4
85,11,4,5
86,11,4,6
87,11,4,7
88,11,4,8
89,11,4,9
90,11,4,10
91,11,4,11
92,11,4,12
93,11,4,13
94,11,4,14
95,11,4,15
96,11,4,16
97,11,4,17
98,11,4,18
99,11,4,19
100,11,5,0
101,11,5,1
102,11,5,2
103,11,5,3
104,11,5,4
105,11,5,5
106,11,5,6
107,11,5,7
108,11,5,8
109,11,5,9
110,11,5,10
111,11,5,11
112,11,5,12
113,11,5,13
114,11,5,14
115,11,5,15
116,11,5,16
117,11,5,17
118,11,5,18
119,11,5,19
120,11,6,0
121,11,6,1
122,11,6,2
123,11,6,3
124,11,6,4
125,11,6,5
126,11,6,6
127,11,6,7
128,11,6,8
129,11,6,9
130,11,6,10
131,11,6,11
132,11,6,12
133,11,6,13
134,11,6,14
135,11,6,15
136,11,6,16
137,11,6,17
138,11,6,18
139,11,6,19
140,11,7,0
141,11,7,1
142,11,7,2
143,11,7,3
144,11,7,4
145,11,7,5
146,11,7,6
147,11,7,7
148,11,7,8
149,11,7,9
150,11,7,10
151,11,7,11
152,11,7,12
153,11,7,13
154,11,7,14
155,11,7,15
156,11,7,16
157,11,7,17
158,11,7,18
159,11,7,19
160,11,8,0
161,11,8,1
162,11,8,2
163,11,8,3
164,11,8,4
165,11,8,5
166,11,8,6
167,11,8,7
168,11,8,8
169,11,8,9
170,11,8,10
171,11,8,11
172,11,8,12
173,11,8,13
174,11,8,14
175,11,8,15
176,11,8,16
177,11,8,17
178,11,8,18
179,11,8,19
180,11,9,0
181,11,9,1
182,11,9,2
183,11,9,3
184,11,9,4
185,11,9,5
186,11,9,6
187,11,9,7
188,11,9,8
189,11,9,9
190,11,9,10
191,11,9,11
192,11,9,12
193,11,9,13
194,11,9,14
195,11,9,15
196,11,9,16
197,11,9,17
198,11,9,18
199,11,9,19
200,11,10,0
201,11,10,1
202,11,10,2
203,11,10,3
204,11,10,4
205,11,10,5
206,11,10,6
207,11,10,7
208,11,10,8
209,11,10,9
210,11,10,10
211,11,10,11
212,11,10,12
213,11,10,13
214,11,10,14
215,11,10,15
216,11,10,16
217,11,10,17
218,11,10,18
219,11,10,19
220,11,11,0
221,11,11,1
222,11,11,2
223,11,11,3
224,11,11,4
225,11,11,5
226,11,11,6
227,11,11,7
228,11,11,8
229,11,11,9
230,11,11,10
231,11,11,11
232,11,11,12
233,11,11,13
234,11,11,14
235,11,11,15
236,11,11,16
237,11,11,17
238,11,11,18
239,11,11,19
240,11,12,0
241,11,12,1
242,11,12,2
243,11,12,3
244,11,12,4
245,11,12,5
246,11,12,6
247,11,12,7
248,11,12,8
249,11,12,9
250,11,12,10
251,11,12,11
252,11,12,12
253,11,12,13
254,11,12,14
255,11,12,15
256,11,12,16
257,11,12,17
258,11,12,18
259,11,12,19
260,11,13,0
261,11,13,1
262,11,13,2
263,11,13,3
264,11,13,4
265,11,13,5
266,11,13,6
267,11,13,7
268,11,13,8
269,11,13,9
270,11,13,10
271,11,13,11
272,11,13,12
273,11,13,13
274,11,13,14
275,11,13,15
276,11,13,16
277,11,13,17
278,11,13,18
279,11,13,19
280,11,14,0
281,11,14,1
282,11,14,2
283,11,14,3
284,11,14,4
285,11,14,5
286,11,14,6
287,11,14,7
288,11,14,8
289,11,14,9
290,11,14,10
291,11,14,11
292,11,14,12
293,11,14,13
294,11,14,14
295,11,14,15
296,11,14,16
297,11,14,17
298,11,14,18
299,11,14,19
300,11,15,0
301,11,15,1
302,11,15,2
303,11,15,3
304,11,15,4
305,11,15,5
306,11,15,6
307,11,15,7
308,11,15,8
309,11,15,9
310,11,15,10
311,11,15,11
312,11,15,12
313,11,15,13
314,11,15,14
315,11,15,15
316,11,15,16
317,11,15,17
318,11,15,18
319,11,15,19
320,11,16,0
321,11,16,1
322,11,16,2
323,11,16,3
324,11,16,4
325,11,16,5
326,11,16,6
327,11,16,7
328,11,16,8
329,11,16,9
330,11,16,10
331,11,16,11
332,11,16,12
333,11,16,13
334,11,16,14
335,11,16,15
336,11,16,16
337,11,16,17
338,11,16,18
339,11,16,19
340,11,17,0
341,11,17,1
342,11,17,2
343,11,17,3
344,11,17,4
345,11,17,5
346,11,17,6
347,11,17,7
348,11,17,8
349,11,17,9
350,11,17,10
351,11,17,11
352,11,17,12
353,11,17,13
354,11,17,14
355,11,17,15
356,11,17,16
357,11,17,17
358,11,17,18
359,11,17,19
360,13,36,0
361,13,36,1
362,13,36,2
363,13,36,3
364,13,36,4
365,13,36,5
366,13,36,6
367,13,36,7
368,13,36,8
369,13,36,9
370,13,36,10
371,13,36,11
372,13,36,12
373,13,36,13
374,13,36,14
375,13,36,15
376,13,36,16
377,13,36,17
378,13,36,18
379,13,36,19
380,13,37,0
381,13,37,1
382,13,37,2
383,13,37,3
384,13,37,4
385,13,37,5
386,13,37,6
387,13,37,7
388,13,37,8
389,13,37,9
390,13,37,10
391,13,37,11
392,13,37,12
393,13,37,13
