clip,ref_cx,ref_cy,vcl,lin,accel,turn,vbias
0,0.275781,0.412500,0.025203,1.000000,0.999937,0.000063,0.936343
0,0.238281,0.583333,0.014086,1.000000,0.999929,0.000000,-1.000000
0,0.246094,0.847917,0.020995,1.000000,0.999952,0.000000,0.894427
0,0.194531,0.845833,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.083594,0.806250,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.030469,0.727083,0.016927,1.000000,0.999941,0.000000,0.554683
0,0.135156,0.189583,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.189844,0.102083,0.248452,1.000000,0.999996,0.000000,0.894427
0,0.314844,0.093750,0.084380,1.000000,0.999988,0.000000,0.447214
0,0.285156,0.216667,0.005087,0.999999,0.999803,0.000000,0.707023
0,0.314844,0.304167,0.016928,1.000000,1.000024,0.000056,0.832081
0,0.469531,0.102083,2.169700,0.962155,2.425792,0.903489,-0.425797
0,0.586719,0.872917,0.063163,1.000000,0.999984,0.000000,0.668953
0,0.647656,0.562500,0.022573,1.000000,0.999956,0.000000,0.640214
0,0.488281,0.868750,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.424219,0.770833,3.744925,0.651854,1.429375,1.967495,0.788944
0,0.849219,0.837500,0.013814,0.999999,0.999927,0.000000,0.913872
0,0.839844,0.962500,0.013814,0.999999,0.999927,0.000000,0.913872
0,0.855469,0.747917,0.005953,0.999999,1.000635,0.000806,0.706822
0,0.875781,0.606250,2.036952,0.881995,1.014470,0.552864,0.968918
0,0.828125,0.436458,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.868750,0.409375,0.002523,1.000000,0.999604,0.000000,0.000000
0,0.674219,0.204167,0.572926,0.650861,0.711403,1.187789,-0.591554
0,0.674219,0.129167,0.043718,1.000000,0.999977,0.000000,0.948686
0,0.724219,0.129167,2.701179,0.708970,2.045088,0.088876,-0.913812
0,0.769531,0.062500,0.017244,1.000000,0.999942,0.000000,0.894457
0,0.713281,0.639583,0.013278,1.000000,0.999925,0.000000,-0.707107
0,0.588281,0.479167,0.034179,1.000000,0.999971,0.000000,0.961528
0,0.500781,0.383333,0.016928,1.000000,1.000024,0.000056,0.832081
0,0.207031,0.670833,1.819800,0.978814,0.658266,1.328524,-0.062378
0,0.014844,0.214583,0.048766,1.000000,0.999979,0.000000,0.707111
0,0.027344,0.200000,2.669030,0.791239,2.972862,1.121536,-0.447214
0,0.730469,0.962500,2.104922,0.877350,1.139552,2.365003,0.360994
0,0.691406,0.952083,2.041128,0.634829,1.135715,0.840591,-0.514496
0,0.728906,0.862500,1.690399,0.207859,2.714018,0.321750,-0.948683
0,0.986719,0.768750,0.028413,1.000000,1.000049,0.000253,0.706987
0,0.556250,0.215625,2.033465,0.873290,2.778385,2.085288,0.785594
0,0.588281,0.118750,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.601562,0.206250,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.411719,0.781250,2.399395,0.637050,0.968747,1.212557,-0.944986
0,0.843750,0.700000,2.893794,0.648276,0.633356,0.415242,-0.888426
0,0.856250,0.223958,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.514844,0.715625,0.030329,1.000000,0.999967,0.000000,0.759249
1,0.274606,0.416679,0.025204,1.000000,1.000000,0.000087,0.936351
1,0.238281,0.580839,0.014082,1.000000,0.999688,0.000000,-1.000000
1,0.244847,0.851242,0.020999,1.000000,1.000133,0.000000,0.894427
1,0.194531,0.845833,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.083594,0.806250,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.028598,0.728746,0.016927,1.000000,0.999941,0.000000,0.554683
1,0.135156,0.189583,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.202790,0.137202,0.154515,1.000000,0.405897,1.957940,-0.196117
1,0.304844,0.100139,0.082074,1.000000,0.999988,0.000000,0.406136
1,0.284679,0.217304,0.005087,0.999999,0.999803,0.000000,0.707023
1,0.313597,0.306661,0.016928,1.000000,0.999996,0.000083,0.832004
1,0.378906,0.179167,1.970099,0.868044,0.646709,2.178797,0.086629
1,0.580483,0.880399,0.063163,1.000000,0.999984,0.000000,0.668953
1,0.645353,0.565059,0.022573,1.000000,1.000052,0.000115,0.640214
1,0.488281,0.868750,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.579687,0.816667,1.927444,0.864115,0.573331,1.208689,0.667120
1,0.848474,0.839735,0.013814,0.999999,1.000152,0.000100,0.913872
1,0.839099,0.964735,0.013814,0.999999,1.000152,0.000100,0.913872
1,0.854910,0.748662,0.005949,0.999996,0.999832,0.000000,0.707392
1,0.941406,0.732292,3.067691,0.588750,1.039617,1.841366,0.266586
1,0.828125,0.436458,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.868415,0.409375,0.002523,1.000000,0.999604,0.000000,0.000000
1,0.678906,0.139236,0.956954,0.882734,0.643336,0.324209,0.447214
1,0.672383,0.136511,0.043718,1.000000,0.999959,0.000006,0.948685
1,0.770555,0.065231,0.017246,1.000000,0.999942,0.000000,0.894378
1,0.712034,0.637921,0.013278,1.000000,0.999925,0.000000,-0.707107
1,0.589528,0.484986,0.034179,1.000000,0.999971,0.000000,0.961528
1,0.499534,0.385827,0.016927,1.000000,0.999941,0.000000,0.832050
1,0.090469,0.504167,1.884079,0.964143,0.618409,0.556945,-0.134567
1,0.017090,0.224023,0.096037,1.000000,0.999990,0.000000,0.976187
1,0.118125,0.257083,1.062893,0.751044,0.631798,0.676734,0.525821
1,0.748177,0.774306,2.128953,0.626830,0.951033,0.743756,-0.041631
1,0.989387,0.772307,0.028410,1.000000,0.999965,0.000000,0.707166
1,0.620313,0.327083,4.542578,0.750924,1.399222,1.499462,0.602603
1,0.588281,0.118750,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.601562,0.206250,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.329688,0.670833,2.986495,0.588255,1.163974,1.223734,-0.948683
1,0.602604,0.596875,3.684128,0.557383,0.977974,0.434160,-0.126255
1,0.856250,0.223958,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.512222,0.719703,0.030329,1.000000,1.000125,0.000012,0.759249
2,0.273431,0.420858,0.025203,1.000000,0.999937,0.000063,0.936343
2,0.238281,0.578345,0.014082,1.000000,0.999929,0.000000,-1.000000
2,0.243600,0.854568,0.020995,1.000000,0.999772,0.000000,0.894427
2,0.194531,0.845833,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.083594,0.806250,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.026728,0.730409,0.016927,1.000000,0.999931,0.000007,0.554683
2,0.135156,0.189583,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.217969,0.163995,0.065217,1.000000,0.999985,0.000000,1.000000
2,0.294883,0.106042,0.090620,1.000000,1.032446,0.007528,0.428082
2,0.284201,0.217941,0.005087,0.999999,0.999803,0.000000,0.707023
2,0.312350,0.309155,0.016927,1.000000,0.999802,0.000028,0.832050
2,0.355469,0.322917,2.348207,0.162579,0.777654,1.270319,0.776114
2,0.574248,0.887881,0.063161,1.000000,0.999984,0.000000,0.668980
2,0.643050,0.567618,0.022571,1.000000,0.999860,0.000115,0.640125
2,0.488281,0.868750,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.749740,0.797917,4.241926,0.363185,1.076591,1.545820,-0.432731
2,0.847729,0.841971,0.013811,0.999999,0.999928,0.000000,0.913832
2,0.838354,0.966971,0.013811,0.999999,0.999928,0.000000,0.913832
2,0.854351,0.749407,0.005949,0.999996,0.999431,0.001209,0.707392
2,0.828125,0.436458,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.868080,0.409375,0.002516,1.000000,0.999603,0.000000,0.000000
2,0.632031,0.100521,1.858243,0.792266,0.865519,2.047402,-1.000000
2,0.670547,0.143856,0.043719,1.000000,0.999983,0.000080,0.948662
2,0.771580,0.067963,0.017244,1.000000,0.999964,0.000011,0.894462
2,0.710787,0.636258,0.013278,1.000000,0.999925,0.000000,-0.707107
2,0.590775,0.490806,0.034179,1.000000,0.999971,0.000000,0.961528
2,0.498287,0.388322,0.016927,1.000000,0.999858,0.000056,0.832050
2,0.014546,0.240278,0.084179,1.000000,0.999988,0.000001,0.989949
2,0.196875,0.282500,1.242757,0.750764,0.931663,0.830497,0.575591
2,0.780469,0.654167,2.714856,0.787048,1.240587,2.079681,-0.273004
2,0.992055,0.775865,0.028410,1.000000,0.999880,0.000253,0.707166
2,0.648438,0.506250,1.638886,0.815129,1.529696,2.528447,-0.720833
2,0.588281,0.118750,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.601562,0.206250,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.247656,0.571759,1.838765,0.885533,2.486844,2.349975,-0.784737
2,0.342969,0.510417,2.899273,0.513542,0.778559,0.197396,-0.597011
2,0.856250,0.223958,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.509601,0.723780,0.030324,1.000000,0.999809,0.000012,0.759257
2,0.571094,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.320312,0.210417,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.272255,0.425037,0.025203,1.000000,0.999937,0.000063,0.936343
3,0.238281,0.577083,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.242864,0.856250,0.001594,1.000000,0.999373,0.000000,0.000000
3,0.194531,0.845833,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.083594,0.806250,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.024760,0.734484,0.040107,1.000000,0.999896,0.000030,0.921630
3,0.135156,0.189583,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.221094,0.177292,0.034483,1.000000,0.825678,0.347760,0.000000
3,0.284038,0.112877,0.090619,1.000000,0.999970,0.000004,0.428089
3,0.283723,0.218578,0.005087,0.999999,0.999803,0.000000,0.707023
3,0.307755,0.313353,0.069098,1.000000,0.999986,0.000000,0.485647
3,0.311892,0.396296,1.008632,0.778950,1.174774,2.225050,0.989949
3,0.568359,0.900781,0.163890,1.000000,1.266299,0.119950,0.832057
3,0.640747,0.570177,0.022573,1.000000,0.999956,0.000000,0.640214
3,0.488281,0.868750,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.897656,0.841667,3.365564,0.534635,0.657147,1.691324,-0.154377
3,0.846983,0.844206,0.013811,0.999999,0.999703,0.000100,0.913832
3,0.837608,0.969206,0.013811,0.999999,0.999703,0.000100,0.913832
3,0.853792,0.750152,0.005951,0.999999,1.000233,0.001209,0.706537
3,0.828125,0.436458,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.867746,0.409375,0.002516,1.000000,0.999603,0.000000,0.000000
3,0.668570,0.152083,0.055067,1.000000,0.999982,0.000000,0.955778
3,0.772604,0.070694,0.017244,1.000000,0.999942,0.000000,0.894457
3,0.710156,0.635417,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.589433,0.497039,0.048145,1.000000,0.999979,0.000000,0.780855
3,0.497656,0.394189,0.052631,1.000000,0.999981,0.000000,1.000000
3,0.013281,0.256653,0.129033,1.000000,0.999999,0.000000,1.000000
3,0.282813,0.366667,1.855430,0.831939,0.580102,1.552314,0.503871
3,0.752344,0.552083,2.518569,0.882611,1.018777,2.783354,-0.024992
3,0.993077,0.787992,0.153408,1.000000,0.999993,0.000000,0.995893
3,0.707812,0.614583,1.750247,0.809254,0.679983,0.023677,0.902134
3,0.588281,0.118750,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.601562,0.206250,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.222135,0.454167,3.677997,0.651087,1.097647,2.095170,0.069598
3,0.103906,0.350000,3.819486,0.585758,0.956203,0.510601,-0.993263
3,0.856250,0.223958,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.506980,0.727858,0.030329,1.000000,0.999967,0.000000,0.759249
3,0.571094,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.320312,0.210417,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.271039,0.429222,0.022026,1.000000,0.999955,0.000000,0.600012
4,0.238281,0.577083,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.242650,0.856250,0.001594,1.000000,0.999373,0.000000,0.000000
4,0.194531,0.845833,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.083594,0.806250,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.022668,0.741107,0.040107,1.000000,0.999898,0.000035,0.921629
4,0.135156,0.189583,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.220781,0.180833,0.283430,1.000000,0.660176,2.322192,0.928478
4,0.273033,0.119828,0.090619,1.000000,0.999972,0.000008,0.428089
4,0.283240,0.219222,0.005088,0.999999,1.000039,0.000236,0.707107
4,0.299638,0.319365,0.069098,1.000000,0.999986,0.000000,0.485647
